Unique_id,TickerPairA,TickerPairB,TickerPairC,Percentage_profit_without_fees,Percentage_profit_with_fees,Amount_profit_USDT,maxAmount_USDT,Route,Route_Result,Alive_time,Date,Time,Status,Round,Session
f08bb0b93f264e878ac0636e7c4f65d4,USDT-USD,CRO-USDT,CRO-USD,0.56%,-0.19%,-0.04918122869797538,25.683471007146398,BitRoute,1.0055836519462786,0,15/01/2021,22:41:59,Blocked,1850,4
27fe527d07b24707b7c72c93f281bb9d,USDT-USD,CRO-USDT,CRO-USD,0.89%,0.14%,0.020472352327114723,14.533683167896314,BitRoute,1.0089055383616607,0-3,15/01/2021,22:48:40,Blocked,1976,4
4d45ecee848243e5a9f078a77731808c,USDT-USD,CRO-USDT,CRO-USD,0.76%,0.01%,0.0033584055449953354,25.74354577000986,BitRoute,1.0076280451177004,0,15/01/2021,22:51:12,Blocked,2026,4
e0acacf15eae409ba71521a918084504,BTC-USDT,LMCH-BTC,LMCH-USDT,0.82%,0.07%,0.018121242092980026,27.118693746741013,BitRoute,1.0081590749023577,0,15/01/2021,22:51:53,Blocked,2039,4
32700a3ae38341e39999763f9a1b5892,BTC-USDT,ECELL-BTC,ECELL-USDT,1.22%,0.47%,0.1124248299773834,23.99725234386638,BitRoute,1.0121664404187414,0,15/01/2021,23:10:53,Blocked,2422,4
1509365d17e94bcd8de31ee918b7967f,BTC-USDT,ECELL-BTC,ECELL-USDT,1.71%,0.96%,0.2296414169289536,23.99725234386638,BitRoute,1.0170556150683914,0,15/01/2021,23:12:49,Blocked,2462,4
41027fa7485e47b3b49d1aca0b7c0947,USDT-USD,CRO-USDT,CRO-USD,0.40%,-0.35%,-0.08937461586687101,25.63038561093589,BitRoute,1.0040122319758191,0,15/01/2021,23:14:34,Blocked,2496,4
6dfa2e37979a4e4695b86f9efa9ded1e,USDT-USD,CRO-USDT,CRO-USD,0.42%,-0.33%,-0.08410976887514603,25.661616409631574,BitRoute,1.004221317789637,0,15/01/2021,23:19:55,Blocked,2600,4
262a62618ac94d53bc194878c7bc75ab,BTC-USDT,ECELL-BTC,ECELL-USDT,2.53%,1.78%,0.4273688665835823,24.00410870167892,BitRoute,1.0253094830292613,0,15/01/2021,23:20:11,Blocked,2605,4
ff17a30e2b904a65b5f328a5275a6f83,BTC-USDT,ECELL-BTC,ECELL-USDT,1.46%,0.71%,0.17088914643820682,24.04524684855411,BitRoute,1.014601963338556,0,15/01/2021,23:38:24,Blocked,2979,4
9edfa4ccbf7d48948a4dad8611d14872,BTC-USDT,ECELL-BTC,ECELL-USDT,1.98%,1.23%,0.2969364588657314,24.04524684855411,BitRoute,1.019812473930487,0,15/01/2021,23:38:51,Blocked,2988,4
91aed57ad33248228df6a5f928eee62a,USDT-USD,CRO-USDT,CRO-USD,0.42%,-0.33%,-0.08523474673758108,25.695308643830433,BitRoute,1.004182614927381,0,15/01/2021,23:41:22,Blocked,3038,4
afcb962908ce43eb942043cbbc20f573,USDT-USD,CRO-USDT,CRO-USD,0.42%,-0.33%,-0.05981466678275714,18.176440797558037,BitRoute,1.004208895368474,0,15/01/2021,23:41:36,Blocked,3042,4
3e0d790b8bf5492e86d608f587140fe7,USDT-USD,CRO-USDT,CRO-USD,0.58%,-0.17%,-0.044492894288931766,25.714406830649967,BitRoute,1.0057697289273693,0,15/01/2021,23:42:21,Blocked,3055,4
f14cacd0c96f4cb6b82ff33b642fe817,USDT-USD,CRO-USDT,CRO-USD,0.87%,0.12%,0.03088371834368658,25.73862794862595,BitRoute,1.0086986578855504,0,15/01/2021,23:43:06,Blocked,3069,4
425e9950cf724e6ba060f57ae88a9826,USDT-EUR,CRO-USDT,CRO-EUR,0.59%,-0.09%,-0.021637624575228137,23.681488257848983,BitRoute,1.0058786996418518,0,15/01/2021,23:43:41,Blocked,3079,4
